product_id,sku,category,price
1,PROD-001,Books,379.41
2,PROD-002,Home,262.12
3,PROD-003,Electronics,329.4
4,PROD-004,Electronics,149.45
5,PROD-005,Electronics,364.33
6,PROD-006,Apparel,19.81
7,PROD-007,Home,170.18
8,PROD-008,Apparel,40.83
9,PROD-009,Home,28.35
10,PROD-010,Beauty,53.9
11,PROD-011,Apparel,254.1
12,PROD-012,Beauty,379.35
13,PROD-013,Beauty,236.29
14,PROD-014,Electronics,390.62
15,PROD-015,Electronics,224.88
16,PROD-016,Apparel,119.4
17,PROD-017,Apparel,218.57
18,PROD-018,Beauty,126.85
19,PROD-019,Apparel,45.71
20,PROD-020,Beauty,257.37
21,PROD-021,Books,43.49
22,PROD-022,Electronics,227.93
23,PROD-023,Beauty,86.35
24,PROD-024,Beauty,173.9
25,PROD-025,Books,188.91
26,PROD-026,Home,147.83
27,PROD-027,Apparel,318.78
28,PROD-028,Apparel,37.33
29,PROD-029,Books,212.45
30,PROD-030,Books,293.13
31,PROD-031,Books,245.54
32,PROD-032,Electronics,51.64
33,PROD-033,Home,70.16
34,PROD-034,Books,65.03
35,PROD-035,Home,171.57
36,PROD-036,Electronics,307.01
37,PROD-037,Beauty,316.69
38,PROD-038,Books,139.35
39,PROD-039,Books,239.78
40,PROD-040,Beauty,319.77
41,PROD-041,Electronics,336.79
42,PROD-042,Books,192.27
43,PROD-043,Electronics,28.96
44,PROD-044,Books,260.62
45,PROD-045,Home,117.42
46,PROD-046,Home,355.38
47,PROD-047,Books,13.91
48,PROD-048,Home,145.41
49,PROD-049,Beauty,51.25
50,PROD-050,Electronics,91.19
